Sensor,Set,Round,Constante_Calibracion_K,Error_K,N_Paths,Status
55227,33.0,1,0.39162558482103693,0.00024174013516449456,3,Calculado
55228,33.0,1,0.5755329224073943,0.0002512816924368946,3,Calculado
54876,34.0,1,0.5671552749110138,0.000160484609435526,4,Calculado
54877,34.0,1,0.3894862876738206,0.00018477505796214027,4,Calculado
54878,34.0,1,0.5465879121477148,0.00016592321300840953,4,Calculado
54883,34.0,1,0.42123291297852217,0.00019107269697760806,4,Calculado
54884,34.0,1,0.5283399803622297,0.00018014640475556569,4,Calculado
55066,34.0,1,0.46114982648707076,0.00018818344726647085,4,Calculado
55067,34.0,1,0.5926464455862972,0.00019435805844969642,4,Calculado
55068,34.0,1,0.42406912448054773,0.00018907530703494234,4,Calculado
55070,34.0,1,0.3929710034898457,0.00019036049961683544,4,Calculado
55071,34.0,1,0.46720372668109916,0.0001898492507844901,4,Calculado
55100,34.0,1,0.47047872994403356,0.00019081728235775588,4,Calculado
55105,34.0,1,0.41899642860996,0.00018640594729205765,4,Calculado
55230,35.0,1,0.36890039697819715,0.00024453506256558573,3,Calculado
55231,35.0,1,,,0,Descartado
55232,35.0,1,,,0,Descartado
55233,35.0,1,0.5345245482926504,0.00023037119440642555,3,Calculado
55234,35.0,1,0.5082200528099767,0.0002450016281005048,3,Calculado
55235,35.0,1,0.507392434517554,0.00024214534459725877,3,Calculado
55240,35.0,1,0.44018022944882407,0.000246621403058067,3,Calculado
55241,35.0,1,0.4957379733503048,0.00021394134716679376,3,Calculado
55242,35.0,1,0.49247164737596355,0.00024592873703105394,3,Calculado
55243,35.0,1,0.5265536580373051,0.00023702933015294815,3,Calculado
55244,35.0,1,0.45254511615947396,0.0002477843258277059,3,Calculado
55245,35.0,1,,,0,Descartado
55024,36.0,1,0.465885806440397,0.0002218770831173613,4,Calculado
55025,36.0,1,0.41508948089082515,0.00022283037176382763,4,Calculado
55036,36.0,1,0.46215283495361065,0.00022116207848834533,4,Calculado
55037,36.0,1,0.44767381146801577,0.00020486123356183275,4,Calculado
55039,36.0,1,0.5215815611014654,0.0002190147802318285,4,Calculado
