Sensor,Set,Round,Path_Number,Paso1_From,Paso1_To,Paso1_Set,Paso1_Offset_K,Paso1_Error_K,Paso2_From,Paso2_To,Paso2_Set,Paso2_Offset_K,Paso2_Error_K,Paso3_From,Paso3_To,Paso3_Set,Paso3_Offset_K,Paso3_Error_K,Total_Offset_K,Total_Error_K
55216,38.0,1,2,55216,55217,38.0,0.060146833850176246,0.0003437877278920402,55217,55221,54.0,0.0011900509899132328,0.0004000042691700378,55221,48484,57.0,0.471692182154187,0.0001379511225983251,0.5330290669942765,0.0005451824735164967
55216,38.0,1,3,55216,55221,38.0,0.060325116963568015,0.0003271330867983371,55221,55233,54.0,-0.0663678609802366,0.00034324199882374435,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.5255932071445286,0.0005054090413692845
55217,38.0,1,0,55217,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4684064086905585,0.0002480551186558054
55217,38.0,1,1,55217,55221,38.0,0.00017828311339177297,0.0003023105737636668,55221,55233,54.0,-0.0663678609802366,0.00034324199882374435,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.4654463732943524,0.0004897080003725978
55217,38.0,1,2,55217,55217,38.0,0.0,0.0,55217,55233,54.0,-0.06517780999032337,0.0003511739153595258,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.46645814117087386,0.000392339510745516
55217,38.0,1,3,55217,55217,38.0,0.0,0.0,55217,55221,54.0,0.0011900509899132328,0.0004000042691700378,55221,48484,57.0,0.471692182154187,0.0001379511225983251,0.4728822331441003,0.0004231240096950233
55218,38.0,1,0,55218,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.43217420677548307,0.0002809701486527802
55218,38.0,1,1,55218,55217,38.0,-0.03586642633261791,0.0002851592765390405,55217,55233,54.0,-0.06517780999032337,0.0003511739153595258,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.4305917148382559,0.00048502175692261457
55218,38.0,1,2,55218,55217,38.0,-0.03586642633261791,0.0002851592765390405,55217,55221,54.0,0.0011900509899132328,0.0004000042691700378,55221,48484,57.0,0.471692182154187,0.0001379511225983251,0.43701580681148233,0.000510244784957831
55218,38.0,1,3,55218,55221,38.0,-0.03568814321922614,0.0002648431000145292,55221,55233,54.0,-0.0663678609802366,0.00034324199882374435,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.42957994696173446,0.0004675084066034714
55219,38.0,1,0,55219,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4119942509454068,0.0003197486431324134
55219,38.0,1,1,55219,55217,38.0,-0.0560954528642091,0.0003884936680414247,55217,55233,54.0,-0.06517780999032337,0.0003511739153595258,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.4103626883066648,0.0005521391326471178
55219,38.0,1,2,55219,55217,38.0,-0.0560954528642091,0.0003884936680414247,55217,55221,54.0,0.0011900509899132328,0.0004000042691700378,55221,48484,57.0,0.471692182154187,0.0001379511225983251,0.41678678027989113,0.0005744225428103209
55219,38.0,1,3,55219,55221,38.0,-0.05591716975081733,0.0003738360399123092,55221,55233,54.0,-0.0663678609802366,0.00034324199882374435,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.4093509204301433,0.0005368199207899502
55220,38.0,1,0,55220,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4785964992267845,0.0002908283272243261
55220,38.0,1,1,55220,55217,38.0,0.010541604012457968,0.00031328395147455786,55217,55233,54.0,-0.06517780999032337,0.0003511739153595258,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.4769997451833318,0.0005020728293221452
55220,38.0,1,2,55220,55217,38.0,0.010541604012457968,0.00031328395147455786,55217,55221,54.0,0.0011900509899132328,0.0004000042691700378,55221,48484,57.0,0.471692182154187,0.0001379511225983251,0.48342383715655823,0.0005264795929871426
55220,38.0,1,3,55220,55221,38.0,0.010719887125849741,0.00029491166284253674,55221,55233,54.0,-0.0663678609802366,0.00034324199882374435,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.47598797730681036,0.00048517536159636224
55221,38.0,1,0,55221,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4674471012543175,0.0002625071153993692
55221,38.0,1,1,55221,55217,38.0,-0.00017828311339177297,0.0003023105737636668,55217,55233,54.0,-0.06517780999032337,0.0003511739153595258,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.46627985805748207,0.0004952998836072428
55221,38.0,1,2,55221,55217,38.0,-0.00017828311339177297,0.0003023105737636668,55217,55221,54.0,0.0011900509899132328,0.0004000042691700378,55221,48484,57.0,0.471692182154187,0.0001379511225983251,0.4727039500307085,0.0005200246249839632
55221,38.0,1,3,55221,55221,38.0,0.0,0.0,55221,55233,54.0,-0.0663678609802366,0.00034324199882374435,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.4652680901809606,0.0003852560740852904
55222,38.0,1,0,55222,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4233373181252935,0.00028789163400276947
55222,38.0,1,1,55222,55217,38.0,-0.04471347359131593,0.0003050756738434242,55217,55233,54.0,-0.06517780999032337,0.0003511739153595258,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.4217446675795579,0.0004969924128827826
55222,38.0,1,2,55222,55217,38.0,-0.04471347359131593,0.0003050756738434242,55217,55221,54.0,0.0011900509899132328,0.0004000042691700378,55221,48484,57.0,0.471692182154187,0.0001379511225983251,0.42816875955278433,0.0005216369372958682
55222,38.0,1,3,55222,55221,38.0,-0.04453519047792416,0.00028617690577692717,55221,55233,54.0,-0.0663678609802366,0.00034324199882374435,55233,48484,57.0,0.5316359511611972,0.00017494905790855654,0.42073289970303646,0.00047991610102148793
55223,38.0,1,0,55223,PROMEDIO,38.0,,,PROMEDIO,PROMEDIO,,,,PROMEDIO,48484,57.0,,,0.4866897966717009,0.000289926724866739
